Barcode,UMAP-1,UMAP-2
aafgaapa-1,-3.1690595489403885,2.1340730497549556
aafgabed-1,-3.3175240877139576,4.581269360394782
aafgidmo-1,-8.993559765952531,2.872407897502446
aafgoaje-1,-8.12073396410479,2.862337500123202
aafgpboc-1,-9.014227529741314,2.8026711592049525
aafhipkb-1,-7.160751398664044,3.0549884878779077
aafhmhem-1,-10.092344705872934,2.429244265901617
aafiakml-1,7.184699657984625,-4.435901703341054
aafiblih-1,6.4669758149175856,-5.464034840386372
aafihbnm-1,1.0106383882892656,-5.971294493440681
aafiigpo-1,4.083816625942609,-6.761172174151969
aafijnjk-1,4.148058708776254,-6.659405155442598
aafjacgg-1,6.4434148463929235,-1.9937785196896343
aafjbkjk-1,4.502936749256227,-6.552167450838603
aafjcnnk-1,-9.15314790830432,3.2038285475250188
aafjmkig-1,-8.283363654324996,3.8652231607366176
aafjnnkf-1,-8.583718432508771,2.929833107150522
aafjodpc-1,-10.120248970610962,3.686979886095583
aafjplje-1,-7.80415830480696,5.1601111655819025
aafkeelo-1,-10.655449656688793,2.9798281822393093
aafkkacl-1,-0.8406492178653057,-4.562979870389671
aafklcob-1,0.3133084006833735,-5.113584567176044
aaflgpkc-1,-3.6508037036645637,3.830953611075035
aaflkbbg-1,-10.048504920061326,3.9328183730257273
aaflppli-1,-10.025690655115392,2.810820538595635
aafmbcgi-1,6.43188389905937,-2.3242885237385975
aafmdecj-1,-10.549989255107436,2.7315467718399233
aafmgnfh-1,-10.587486691594851,2.9146871765853124
aafndaoj-1,-9.352630137003269,3.2386022187962205
aafnibln-1,3.3774000046143673,-7.187234750251566
aafnnpah-1,-2.572827826118613,3.445726156623301
aafnogdd-1,1.9102152999927695,-3.8209122619817038
aafppacl-1,3.1238134215176885,-6.1278780798302686
aagbfbnl-1,-1.0694267720219472,-8.118596022970687
aagbgpig-1,-0.22132383335842257,-8.165685291657
aagbmkmg-1,3.82015869571688,-6.167155997149674
aagcefek-1,0.5078793989710021,-8.758968342888895
aagcidgk-1,2.0368436529256044,-6.611856781847885
aagcndoi-1,1.638935311118975,-2.2569859305040825
aagcoekp-1,4.865854827583939,-4.825790346149841
aagddgma-1,1.4004699646821068,-8.196640967966951
aageadpl-1,-1.04059527965481,-3.361501403652486
aageibnk-1,1.2126801591203336,2.971467861653644
aagfcjkc-1,1.9057425086935424,-4.8601734348834755
aagfoncp-1,-0.27606112016307655,-7.542478529522937
aaggaakg-1,-0.3754262778992561,-6.244661604977324
aagggidi-1,3.8723312685300617,-6.702846609598258
aaggkchh-1,0.10385038189531098,-3.6992179718863594
aaggllaj-1,-0.17013769671268786,-5.466025083945827
aaggogfn-1,-0.7603427478912845,-6.761228064811779
aaghgbcj-1,-0.9920907169795359,-5.599039335395547
aaghifbe-1,4.066040136020015,-6.290132095413637
aagilmkm-1,7.320049807229626,-4.134663898938144
aagjdbop-1,3.7964825728332157,-7.505435962268526
aagjkneg-1,0.12538671354269926,-8.4617188188278
aagjlpgl-1,0.6095977963752531,-6.27420241287313
aagjnadc-1,2.870010518922744,-4.279303888890186
aagkacpc-1,-0.6160565834822935,-7.799862115242735
aagkchnb-1,3.318566586169076,-6.315897316164425
aagkdgkl-1,-1.1676519351948593,-5.183660985081379
aagkkala-1,2.4266411808103365,-7.725614975662491
aaglcdbi-1,-1.5736182894602173,-7.490123455939993
aagldodf-1,1.4936500454672486,-6.723857761889803
aaglimmc-1,-0.5555072914195368,-7.23342673580692
aaglkenl-1,6.369301001163053,-3.812757066356506
aaglpmon-1,-1.1504102526499616,-8.33483019919445
aagmjbag-1,0.822634596007997,-8.707655140603094
aagmonnd-1,2.641683389647349,-8.509236733139556
aagneobo-1,2.234596171876968,-6.626639282337567
